"country","iso3","price","feed_avail_mt","f_mt_pot","feed_mt_yr","f_mt_curr","b_mt_curr","f_diff_mt","f_diff_mmt"
"Angola","AGO",7000,249939411.375296,2758507.125,3172283.19375,0,NA,2758507.125,2.758507125
"Brazil","BRA",7000,249939411.375296,60009775.0625,69011241.321875,0,20900,60009775.0625,60.0097750625
"Cameroon","CMR",7000,249939411.375296,5547361,6379465.15,0,NA,5547361,5.547361
"Equatorial Guinea","GNQ",7000,249939411.375296,1820108.1875,2093124.415625,0,NA,1820108.1875,1.8201081875
"French Guiana","GUF",7000,249939411.375296,1847733.5625,2124893.596875,0,NA,1847733.5625,1.8477335625
"Gabon","GAB",7000,249939411.375296,4630703.8125,5325309.384375,0,NA,4630703.8125,4.6307038125
"Guinea","GIN",7000,249939411.375296,26137895.0625,30058579.321875,0,NA,26137895.0625,26.1378950625
"Guinea Bissau","GNB",7000,249939411.375296,11099991.4375,12764990.153125,0,NA,11099991.4375,11.0999914375
"Guyana","GUY",7000,249939411.375296,20409417.5,23470830.125,9.24,0,20409408.26,20.40940826
"Indonesia","IDN",7000,249939411.375296,15696707.125,18051213.19375,864095,35000,14832612.125,14.832612125
"Kenya","KEN",7000,249939411.375296,932488.375,1072361.63125,4,0,932484.375,0.932484375
"Liberia","LBR",7000,249939411.375296,910049.1875,1046556.565625,0,NA,910049.1875,0.9100491875
"Madagascar","MDG",7000,249939411.375296,2738660,3149459,0,NA,2738660,2.73866
"Mozambique","MOZ",7000,249939411.375296,32212416.25,37044278.6875,0,0,32212416.25,32.21241625
"Nicaragua","NIC",7000,249939411.375296,10985481.375,12633303.58125,0,NA,10985481.375,10.985481375
"Nigeria","NGA",7000,249939411.375296,2789838.6875,3208314.490625,0,0,2789838.6875,2.7898386875
"Papua New Guinea","PNG",7000,249939411.375296,935924.8125,1076313.534375,1,0,935923.8125,0.9359238125
"Philippines","PHL",7000,249939411.375296,3734726.4375,4294935.403125,379663,38287,3355063.4375,3.3550634375
"Senegal","SEN",7000,249939411.375296,1825210.3125,2098991.859375,262.8,1195.43,1824947.5125,1.8249475125
"Sierra Leone","SLE",7000,249939411.375296,4672896.625,5373831.11875,0,NA,4672896.625,4.672896625
"Somalia","SOM",7000,249939411.375296,961356.875,1105560.40625,0,NA,961356.875,0.961356875
"Tanzania","TZA",7000,249939411.375296,1853356.0625,2131359.471875,390,0,1852966.0625,1.8529660625
"Vietnam","VNM",7000,249939411.375296,1818412.9375,2091174.878125,303493,225384,1514919.9375,1.5149199375
